epsilon,size,number_of_threads,policy_type,id_rep,compression_ratio,space_saving,time,clustering_type,low_rank_generator_type,symmetry_type,generator_type,hardware_type,version
0.0001,524288,16,omp_task,stddev,nan,nan,nan,PCARegularN,sympartialACA,S,Laplace,cpu_amd_irene,c348f93
1e-10,262144,1,par,0,68.4456,0.98539,78.0199,PCARegularN,sympartialACA,S,Helmholtz,cpu_amd_irene,c348f93
1e-10,262144,1,par,mean,68.4456,0.98539,78.0199,PCARegularN,sympartialACA,S,Helmholtz,cpu_amd_irene,c348f93
1e-10,262144,1,par,stddev,nan,nan,nan,PCARegularN,sympartialACA,S,Helmholtz,cpu_amd_irene,c348f93
1e-10,262144,2,par,0,68.4456,0.98539,43.7155,PCARegularN,sympartialACA,S,Helmholtz,cpu_amd_irene,c348f93
1e-10,262144,2,par,mean,68.4456,0.98539,43.7155,PCARegularN,sympartialACA,S,Helmholtz,cpu_amd_irene,c348f93
1e-10,262144,2,par,stddev,nan,nan,nan,PCARegularN,sympartialACA,S,Helmholtz,cpu_amd_irene,c348f93
1e-10,262144,4,par,0,68.4456,0.98539,30.6908,PCARegularN,sympartialACA,S,Helmholtz,cpu_amd_irene,c348f93
1e-10,262144,4,par,mean,68.4456,0.98539,30.6908,PCARegularN,sympartialACA,S,Helmholtz,cpu_amd_irene,c348f93
1e-10,262144,4,par,stddev,nan,nan,nan,PCARegularN,sympartialACA,S,Helmholtz,cpu_amd_irene,c348f93
1e-10,262144,8,par,0,68.4456,0.98539,31.2882,PCARegularN,sympartialACA,S,Helmholtz,cpu_amd_irene,c348f93
1e-10,262144,8,par,mean,68.4456,0.98539,31.2882,PCARegularN,sympartialACA,S,Helmholtz,cpu_amd_irene,c348f93
1e-10,262144,8,par,stddev,nan,nan,nan,PCARegularN,sympartialACA,S,Helmholtz,cpu_amd_irene,c348f93
1e-10,262144,16,par,0,68.4456,0.98539,27.084,PCARegularN,sympartialACA,S,Helmholtz,cpu_amd_irene,c348f93
1e-10,262144,16,par,mean,68.4456,0.98539,27.084,PCARegularN,sympartialACA,S,Helmholtz,cpu_amd_irene,c348f93
1e-10,262144,16,par,stddev,nan,nan,nan,PCARegularN,sympartialACA,S,Helmholtz,cpu_amd_irene,c348f93
1e-10,262144,1,omp_task,0,68.4456,0.98539,77.0079,PCARegularN,sympartialACA,S,Helmholtz,cpu_amd_irene,c348f93
1e-10,262144,1,omp_task,mean,68.4456,0.98539,77.0079,PCARegularN,sympartialACA,S,Helmholtz,cpu_amd_irene,c348f93
1e-10,262144,1,omp_task,stddev,nan,nan,nan,PCARegularN,sympartialACA,S,Helmholtz,cpu_amd_irene,c348f93
1e-10,262144,2,omp_task,0,68.4456,0.98539,43.373,PCARegularN,sympartialACA,S,Helmholtz,cpu_amd_irene,c348f93
1e-10,262144,2,omp_task,mean,68.4456,0.98539,43.373,PCARegularN,sympartialACA,S,Helmholtz,cpu_amd_irene,c348f93
1e-10,262144,2,omp_task,stddev,nan,nan,nan,PCARegularN,sympartialACA,S,Helmholtz,cpu_amd_irene,c348f93
1e-10,262144,4,omp_task,0,68.4456,0.98539,34.1372,PCARegularN,sympartialACA,S,Helmholtz,cpu_amd_irene,c348f93
1e-10,262144,4,omp_task,mean,68.4456,0.98539,34.1372,PCARegularN,sympartialACA,S,Helmholtz,cpu_amd_irene,c348f93
1e-10,262144,4,omp_task,stddev,nan,nan,nan,PCARegularN,sympartialACA,S,Helmholtz,cpu_amd_irene,c348f93
1e-10,262144,8,omp_task,0,68.4456,0.98539,33.6706,PCARegularN,sympartialACA,S,Helmholtz,cpu_amd_irene,c348f93
1e-10,262144,8,omp_task,mean,68.4456,0.98539,33.6706,PCARegularN,sympartialACA,S,Helmholtz,cpu_amd_irene,c348f93
1e-10,262144,8,omp_task,stddev,nan,nan,nan,PCARegularN,sympartialACA,S,Helmholtz,cpu_amd_irene,c348f93
1e-10,262144,16,omp_task,0,68.4456,0.98539,31.5235,PCARegularN,sympartialACA,S,Helmholtz,cpu_amd_irene,c348f93
