epsilon,size,number_of_threads,policy_type,id_rep,compression_ratio,space_saving,factorization_time,solve_time,clustering_type,low_rank_generator_type,symmetry_type,generator_type,hardware_type,version
1e-07,8192,16,par,0,5.6185,0.822017,7.01104,1.90611,PCARegularN,sympartialACA,S,Helmholtz,cpu_amd_irene,c348f93
1e-07,8192,16,par,mean,5.6185,0.822017,7.01104,1.90611,PCARegularN,sympartialACA,S,Helmholtz,cpu_amd_irene,c348f93
1e-07,8192,16,par,std_dev,nan,nan,nan,nan,PCARegularN,sympartialACA,S,Helmholtz,cpu_amd_irene,c348f93
1e-07,16384,1,par,0,9.62575,0.896112,62.5315,4.38782,PCARegularN,sympartialACA,S,Helmholtz,cpu_amd_irene,c348f93
1e-07,16384,1,par,mean,9.62575,0.896112,62.5315,4.38782,PCARegularN,sympartialACA,S,Helmholtz,cpu_amd_irene,c348f93
1e-07,16384,1,par,std_dev,nan,nan,nan,nan,PCARegularN,sympartialACA,S,Helmholtz,cpu_amd_irene,c348f93
1e-07,16384,2,par,0,9.62575,0.896112,36.3853,4.3413,PCARegularN,sympartialACA,S,Helmholtz,cpu_amd_irene,c348f93
1e-07,16384,2,par,mean,9.62575,0.896112,36.3853,4.3413,PCARegularN,sympartialACA,S,Helmholtz,cpu_amd_irene,c348f93
1e-07,16384,2,par,std_dev,nan,nan,nan,nan,PCARegularN,sympartialACA,S,Helmholtz,cpu_amd_irene,c348f93
1e-07,16384,4,par,0,9.62575,0.896112,23.7831,4.32388,PCARegularN,sympartialACA,S,Helmholtz,cpu_amd_irene,c348f93
1e-07,16384,4,par,mean,9.62575,0.896112,23.7831,4.32388,PCARegularN,sympartialACA,S,Helmholtz,cpu_amd_irene,c348f93
1e-07,16384,4,par,std_dev,nan,nan,nan,nan,PCARegularN,sympartialACA,S,Helmholtz,cpu_amd_irene,c348f93
1e-07,16384,8,par,0,9.62575,0.896112,19.5927,4.34715,PCARegularN,sympartialACA,S,Helmholtz,cpu_amd_irene,c348f93
1e-07,16384,8,par,mean,9.62575,0.896112,19.5927,4.34715,PCARegularN,sympartialACA,S,Helmholtz,cpu_amd_irene,c348f93
1e-07,16384,8,par,std_dev,nan,nan,nan,nan,PCARegularN,sympartialACA,S,Helmholtz,cpu_amd_irene,c348f93
1e-07,16384,16,par,0,9.62575,0.896112,19.5774,4.43525,PCARegularN,sympartialACA,S,Helmholtz,cpu_amd_irene,c348f93
1e-07,16384,16,par,mean,9.62575,0.896112,19.5774,4.43525,PCARegularN,sympartialACA,S,Helmholtz,cpu_amd_irene,c348f93
1e-07,16384,16,par,std_dev,nan,nan,nan,nan,PCARegularN,sympartialACA,S,Helmholtz,cpu_amd_irene,c348f93
0.0001,8192,1,par,0,9.63278,0.896188,10.4272,1.08329,PCARegularN,sympartialACA,S,Helmholtz,cpu_amd_irene,c348f93
0.0001,8192,1,par,mean,9.63278,0.896188,10.4272,1.08329,PCARegularN,sympartialACA,S,Helmholtz,cpu_amd_irene,c348f93
0.0001,8192,1,par,std_dev,nan,nan,nan,nan,PCARegularN,sympartialACA,S,Helmholtz,cpu_amd_irene,c348f93
0.0001,8192,2,par,0,9.63278,0.896188,6.08675,1.09716,PCARegularN,sympartialACA,S,Helmholtz,cpu_amd_irene,c348f93
0.0001,8192,2,par,mean,9.63278,0.896188,6.08675,1.09716,PCARegularN,sympartialACA,S,Helmholtz,cpu_amd_irene,c348f93
0.0001,8192,2,par,std_dev,nan,nan,nan,nan,PCARegularN,sympartialACA,S,Helmholtz,cpu_amd_irene,c348f93
0.0001,8192,4,par,0,9.63278,0.896188,3.99251,1.11254,PCARegularN,sympartialACA,S,Helmholtz,cpu_amd_irene,c348f93
0.0001,8192,4,par,mean,9.63278,0.896188,3.99251,1.11254,PCARegularN,sympartialACA,S,Helmholtz,cpu_amd_irene,c348f93
0.0001,8192,4,par,std_dev,nan,nan,nan,nan,PCARegularN,sympartialACA,S,Helmholtz,cpu_amd_irene,c348f93
0.0001,8192,8,par,0,9.63278,0.896188,3.3061,1.10516,PCARegularN,sympartialACA,S,Helmholtz,cpu_amd_irene,c348f93
