epsilon,size,number_of_threads,policy_type,id_rep,compression_ratio,space_saving,time,clustering_type,low_rank_generator_type,symmetry_type,generator_type,hardware_type,version
0.0001,262144,2,par,stddev,nan,nan,nan,PCARegularN,sympartialACA,S,Helmholtz,cpu_amd_irene,c348f93
0.0001,262144,4,par,0,120.478,0.9917,3.65616,PCARegularN,sympartialACA,S,Helmholtz,cpu_amd_irene,c348f93
0.0001,262144,4,par,mean,120.478,0.9917,3.65616,PCARegularN,sympartialACA,S,Helmholtz,cpu_amd_irene,c348f93
0.0001,262144,4,par,stddev,nan,nan,nan,PCARegularN,sympartialACA,S,Helmholtz,cpu_amd_irene,c348f93
0.0001,262144,8,par,0,120.478,0.9917,2.5161,PCARegularN,sympartialACA,S,Helmholtz,cpu_amd_irene,c348f93
0.0001,262144,8,par,mean,120.478,0.9917,2.5161,PCARegularN,sympartialACA,S,Helmholtz,cpu_amd_irene,c348f93
0.0001,262144,8,par,stddev,nan,nan,nan,PCARegularN,sympartialACA,S,Helmholtz,cpu_amd_irene,c348f93
0.0001,262144,16,par,0,120.478,0.9917,2.37996,PCARegularN,sympartialACA,S,Helmholtz,cpu_amd_irene,c348f93
0.0001,262144,16,par,mean,120.478,0.9917,2.37996,PCARegularN,sympartialACA,S,Helmholtz,cpu_amd_irene,c348f93
0.0001,262144,16,par,stddev,nan,nan,nan,PCARegularN,sympartialACA,S,Helmholtz,cpu_amd_irene,c348f93
0.0001,524288,1,par,0,223.278,0.995521,31.9499,PCARegularN,sympartialACA,S,Helmholtz,cpu_amd_irene,c348f93
0.0001,524288,1,par,mean,223.278,0.995521,31.9499,PCARegularN,sympartialACA,S,Helmholtz,cpu_amd_irene,c348f93
0.0001,524288,1,par,stddev,nan,nan,nan,PCARegularN,sympartialACA,S,Helmholtz,cpu_amd_irene,c348f93
0.0001,524288,2,par,0,223.278,0.995521,14.653,PCARegularN,sympartialACA,S,Helmholtz,cpu_amd_irene,c348f93
0.0001,524288,2,par,mean,223.278,0.995521,14.653,PCARegularN,sympartialACA,S,Helmholtz,cpu_amd_irene,c348f93
0.0001,524288,2,par,stddev,nan,nan,nan,PCARegularN,sympartialACA,S,Helmholtz,cpu_amd_irene,c348f93
0.0001,524288,4,par,0,223.278,0.995521,8.22036,PCARegularN,sympartialACA,S,Helmholtz,cpu_amd_irene,c348f93
0.0001,524288,4,par,mean,223.278,0.995521,8.22036,PCARegularN,sympartialACA,S,Helmholtz,cpu_amd_irene,c348f93
0.0001,524288,4,par,stddev,nan,nan,nan,PCARegularN,sympartialACA,S,Helmholtz,cpu_amd_irene,c348f93
0.0001,524288,8,par,0,223.278,0.995521,6.15281,PCARegularN,sympartialACA,S,Helmholtz,cpu_amd_irene,c348f93
0.0001,524288,8,par,mean,223.278,0.995521,6.15281,PCARegularN,sympartialACA,S,Helmholtz,cpu_amd_irene,c348f93
0.0001,524288,8,par,stddev,nan,nan,nan,PCARegularN,sympartialACA,S,Helmholtz,cpu_amd_irene,c348f93
0.0001,524288,16,par,0,223.278,0.995521,4.93464,PCARegularN,sympartialACA,S,Helmholtz,cpu_amd_irene,c348f93
0.0001,524288,16,par,mean,223.278,0.995521,4.93464,PCARegularN,sympartialACA,S,Helmholtz,cpu_amd_irene,c348f93
0.0001,524288,16,par,stddev,nan,nan,nan,PCARegularN,sympartialACA,S,Helmholtz,cpu_amd_irene,c348f93
